Date,City,pm2.5,pm10,no2,so2,co,o3
2021-01-01,Bhopal,201,318,22,0,1.05,43
2021-01-01,Indore,213,681,33,12,1.0,37
2021-01-01,Gwalior,133,197,56,17,1.63,55
2021-01-01,Jabalpur,72,140,32,24,1.13,48
2021-01-01,Ujjain,113,221,37,18,1.52,22
2021-01-01,Satna,94,199,65,26,1.51,53
2021-01-01,Sagar,186,241,54,20,1.53,30
2021-01-01,Dewas,169,236,39,28,1.6,37
2021-01-02,Bhopal,105,199,58,22,1.29,30
2021-01-02,Indore,138,207,33,20,0.9,38
2021-01-02,Gwalior,60,0,21,19,0.73,50
2021-01-02,Jabalpur,92,152,27,23,1.88,47
2021-01-02,Ujjain,63,164,41,22,1.7,40
2021-01-02,Satna,103,153,61,25,1.88,52
2021-01-02,Sagar,193,255,62,11,0.98,48
2021-01-02,Dewas,204,253,34,13,1.95,39
2021-01-03,Bhopal,119,186,26,27,1.73,57
2021-01-03,Indore,64,143,40,12,1.13,38
2021-01-03,Gwalior,156,251,35,26,1.04,35
2021-01-03,Jabalpur,109,223,60,22,0.78,50
2021-01-03,Ujjain,800,293,31,20,1.96,32
2021-01-03,Satna,177,225,24,12,0.76,40
2021-01-03,Sagar,91,156,59,29,0.57,26
2021-01-03,Dewas,216,280,45,25,0.8,46
2021-01-04,Bhopal,198,285,47,17,0.59,45
2021-01-04,Indore,217,333,63,28,1.65,26
2021-01-04,Gwalior,212,290,55,14,1.67,52
2021-01-04,Jabalpur,121,178,67,29,1.97,44
2021-01-04,Ujjain,189,278,30,13,0.9,30
2021-01-04,Satna,67,165,43,24,1.85,45
2021-01-04,Sagar,167,257,68,22,0.86,46
2021-01-04,Dewas,140,251,35,19,1.5,20
2021-01-05,Bhopal,206,308,56,11,1.55,43
2021-01-05,Indore,174,233,61,15,1.92,33
2021-01-05,Gwalior,89,189,54,18,1.14,28
2021-01-05,Jabalpur,105,196,41,20,0.98,22
2021-01-05,Ujjain,85,147,48,14,0.7,24
2021-01-05,Satna,163,270,34,19,0.95,41
2021-01-05,Sagar,102,189,66,11,1.17,52
2021-01-05,Dewas,138,180,68,10,1.34,26
2021-01-06,Bhopal,190,278,26,24,0.54,35
2021-01-06,Indore,90,182,41,19,0.51,41
2021-01-06,Gwalior,114,188,62,28,0.67,50
2021-01-06,Jabalpur,172,290,59,27,0.78,41
2021-01-06,Ujjain,142,243,23,23,1.02,35
2021-01-06,Satna,168,213,48,15,1.0,20
2021-01-06,Sagar,177,253,21,22,0.97,23
2021-01-06,Dewas,156,244,24,13,0.81,25
2021-01-07,Bhopal,128,172,39,22,1.25,46
2021-01-07,Indore,61,162,26,13,1.27,50
2021-01-07,Gwalior,121,226,29,16,1.25,22
2021-01-07,Jabalpur,195,264,62,17,0.81,59
2021-01-07,Ujjain,186,243,65,27,0.56,44
2021-01-07,Satna,106,206,20,23,1.37,29
2021-01-07,Sagar,118,175,53,25,1.29,40
2021-01-07,Dewas,128,200,52,25,1.22,38
2021-01-08,Bhopal,141,208,47,17,1.2,21
2021-01-08,Indore,64,132,61,11,1.42,52
2021-01-08,Gwalior,111,153,37,10,1.47,28
2021-01-08,Jabalpur,191,271,25,20,1.27,20
2021-01-08,Ujjain,76,120,25,22,1.17,31
2021-01-08,Satna,208,256,55,27,1.79,44
2021-01-08,Sagar,80,134,23,17,1.72,41
2021-01-08,Dewas,164,240,26,27,1.35,26
2021-01-09,Bhopal,90,170,51,12,1.4,24
2021-01-09,Indore,127,218,54,15,0.7,56
2021-01-09,Gwalior,166,249,27,13,0.83,46
2021-01-09,Jabalpur,156,208,47,20,1.63,24
2021-01-09,Ujjain,129,186,37,16,1.29,34
2021-01-09,Satna,92,155,49,20,0.95,27
2021-01-09,Sagar,192,252,55,27,0.62,55
2021-01-09,Dewas,193,274,27,26,1.01,50
2021-01-10,Bhopal,205,251,40,21,1.78,24
2021-01-10,Indore,119,184,26,27,1.86,58
2021-01-10,Gwalior,111,219,31,19,0.95,55
2021-01-10,Jabalpur,186,299,48,10,1.49,55
2021-01-10,Ujjain,71,190,48,15,0.65,49
2021-01-10,Satna,206,290,44,12,1.61,35
2021-01-10,Sagar,177,267,36,25,1.18,25
2021-01-10,Dewas,104,179,31,18,1.77,39
2021-01-11,Bhopal,98,138,49,28,1.55,22
2021-01-11,Indore,144,196,48,10,1.15,31
2021-01-11,Gwalior,123,227,42,21,1.72,47
2021-01-11,Jabalpur,115,164,37,21,0.64,36
2021-01-11,Ujjain,214,304,31,14,0.86,26
2021-01-11,Satna,142,212,61,14,1.32,48
2021-01-11,Sagar,62,151,62,14,0.98,39
2021-01-11,Dewas,160,260,60,16,1.03,37
2021-01-12,Bhopal,91,206,67,10,0.84,44
2021-01-12,Indore,192,282,64,23,0.94,39
2021-01-12,Gwalior,101,216,69,19,0.63,46
2021-01-12,Jabalpur,139,185,25,15,1.16,24
2021-01-12,Ujjain,168,247,54,23,0.97,56
